ID,Checkout Date,Return Date,Member ID
29,16/08/2018,21/08/2018,crmr
11,31/08/2018,05/09/2018,gluf
0,25/09/2018,30/10/2018,sdli
26,30/09/2018,08/01/2019,rujl
31,05/10/2018,20/10/2018,ibty
13,10/10/2018,24/11/2018,wqeu
16,15/10/2018,29/11/2018,emnp
29,25/10/2018,09/11/2018,znjh
28,04/11/2018,04/12/2018,qtrr
7,14/11/2018,19/11/2018,ywlr
23,09/12/2018,19/12/2018,ltho
18,14/12/2018,24/12/2018,jeow
11,29/12/2018,20/09/2022,byio
22,03/01/2019,18/01/2019,mkzx
2,23/01/2019,02/02/2019,ursl
30,28/01/2019,07/02/2019,faeq
0,12/02/2019,05/09/2019,slva
3,17/02/2019,22/02/2019,dyjn
1,27/02/2019,14/03/2019,zcdi
4,04/03/2019,07/06/2019,wart
23,09/03/2019,08/04/2019,dyap
25,19/03/2019,17/06/2019,urua
2,24/03/2019,27/06/2019,twux
14,29/03/2019,12/07/2019,edbu
30,03/04/2019,02/06/2019,haxk
24,18/04/2019,23/04/2019,ibty
34,28/04/2019,17/07/2019,ursl
22,03/05/2019,21/08/2019,jeow
20,08/05/2019,02/07/2019,mkzx
29,13/05/2019,23/05/2019,haxk
3,18/05/2019,19/11/2019,znjh
28,28/05/2019,07/07/2019,twux
31,12/06/2019,20/09/2019,dyjn
24,22/06/2019,25/10/2019,dyjn
14,22/07/2019,10/09/2019,sdli
27,27/07/2019,15/09/2019,znjh
33,01/08/2019,31/08/2019,haxk
15,06/08/2019,11/08/2019,slva
6,16/08/2019,18/01/2020,wqeu
33,25/09/2019,10/10/2019,qtrr
5,30/09/2019,05/10/2019,gluf
32,20/10/2019,14/11/2019,haxk
20,30/10/2019,29/12/2019,ltho
4,04/11/2019,03/03/2020,slva
33,09/11/2019,04/12/2019,ywlr
19,24/11/2019,23/01/2020,mkzx
25,29/11/2019,08/01/2020,wart
3,09/12/2019,17/02/2020,crmr
21,14/12/2019,02/02/2020,faeq
2,24/12/2019,28/01/2020,ursl
34,03/01/2020,18/03/2020,mkzx
30,13/01/2020,07/04/2020,ltho
8,07/02/2020,13/03/2020,sdli
17,12/02/2020,28/03/2020,wqeu
9,22/02/2020,27/02/2020,byio
9,08/03/2020,23/03/2020,gluf
8,02/04/2020,12/04/2020,edbu
27,27/04/2020,02/05/2020,crmr
16,07/05/2020,12/05/2020,dyap
5,17/05/2020,22/05/2020,jeow
9,27/05/2020,01/06/2020,emnp
29,11/06/2020,16/06/2020,ibty
13,21/06/2020,26/06/2020,edbu
2,01/07/2020,06/07/2020,qtrr
12,11/07/2020,21/07/2020,qtrr
27,16/07/2020,24/09/2020,znjh
8,26/07/2020,31/07/2020,urua
26,05/08/2020,25/08/2020,haxk
16,10/08/2020,19/09/2020,jeow
32,15/08/2020,30/08/2020,sdli
29,20/08/2020,13/11/2020,zcdi
30,04/09/2020,09/09/2020,twux
9,14/09/2020,29/09/2020,byio
19,04/10/2020,09/10/2020,mkzx
28,14/10/2020,08/11/2020,urua
31,19/10/2020,24/10/2020,wqeu
26,29/10/2020,03/11/2020,ywlr
21,23/11/2020,13/12/2020,sdli
10,28/11/2020,17/01/2021,ywlr
27,03/12/2020,08/12/2020,jeow
29,18/12/2020,23/12/2020,slva
28,28/12/2020,22/01/2021,rujl
12,02/01/2021,07/01/2021,mkzx
12,12/01/2021,11/02/2021,ursl
21,27/01/2021,01/02/2021,crmr
22,06/02/2021,16/02/2021,rujl
34,08/03/2021,13/03/2021,gluf
5,18/03/2021,28/03/2021,mkzx
22,23/03/2021,02/04/2021,wqeu
30,22/04/2021,27/04/2021,urua
18,02/05/2021,22/05/2021,ursl
0,07/05/2021,17/05/2021,jeow
6,12/05/2021,27/05/2021,ywlr
17,06/06/2021,19/10/2021,mkzx
2,11/06/2021,11/07/2021,wart
20,16/06/2021,21/07/2021,emnp
16,21/06/2021,24/10/2021,faeq
28,26/06/2021,01/07/2021,jeow
33,06/07/2021,15/08/2021,jeow
19,16/07/2021,31/07/2021,zcdi
23,26/07/2021,24/09/2021,twux
26,05/08/2021,10/08/2021,qtrr
2,20/08/2021,14/10/2021,emnp
12,25/08/2021,14/09/2021,rujl
1,30/08/2021,18/11/2021,slva
5,04/09/2021,08/12/2021,wqeu
4,09/09/2021,03/12/2021,dyjn
7,19/09/2021,16/12/2021,urua
26,09/10/2021,0,ursl
19,29/10/2021,0,twux
33,03/11/2021,28/11/2021,ursl
14,08/11/2021,0,mkzx
2,13/11/2021,16/12/2021,ltho
32,23/11/2021,20/09/2022,ltho
4,13/12/2021,0,edbu
0,16/12/2021,0,bobb
1,16/12/2021,16/12/2021,bobb
24,16/12/2021,20/09/2022,tomw
12,16/12/2021,20/09/2022,tomw
3,16/12/2021,16/12/2021,tomw
2,16/12/2021,16/12/2021,fogb
6,16/12/2021,16/12/2021,fogb
27,18/12/2021,18/12/2021,sarw
29,18/12/2021,18/12/2021,sarw
32,20/09/2022,0,tomw
